evidence_level,subset,rul_threshold_tau,late_tolerance_epsilon,mean_difference_ocm_minus_rast,nominal_crossed_ci95_low,nominal_crossed_ci95_high,centered_bootstrap_p,bootstrap_p_mcse,exact_seed_signflip_p,eligible_engine_count,bootstrap_repetitions,holm_adjusted_p_all80,sensitivity_decision
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,40.0,0.5,0.034782608695652174,-0.08148989898989897,0.15714285714285714,0.551044895510449,0.004973627264624481,0.6875,23,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,40.0,1.0,0.043478260869565216,-0.07692307692307693,0.17931034482758618,0.4804519548045195,0.004995927487840187,0.5625,23,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,40.0,2.0,0.043478260869565216,-0.045454545454545456,0.16153846153846155,0.388961103889611,0.004874901013258599,0.5,23,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,40.0,5.0,0.017391304347826087,0.0,0.07619047619047618,0.5875412458754125,0.0049225227174760355,0.5,23,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,50.0,0.0,0.013793103448275867,-0.13104433497536946,0.16970454545454539,0.8625137486251375,0.0034434274330275073,0.9375,29,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,50.0,0.5,0.027586206896551713,-0.12857142857142856,0.19166666666666665,0.7297270272972702,0.004440785655173238,0.8125,29,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,50.0,1.0,0.020689655172413793,-0.12002631578947369,0.17577540106951847,0.781921807819218,0.0041292014236598675,0.875,29,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,50.0,2.0,0.034482758620689655,-0.08461538461538462,0.17931034482758623,0.6024397560243976,0.004893691328341468,0.875,29,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD003,50.0,5.0,0.013793103448275862,-0.02941721132897603,0.07407407407407407,0.6303369663033697,0.004826893165559007,0.75,29,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,20.0,0.0,-0.125,-0.2523809523809524,-0.017142857142857126,0.039196080391960805,0.001940514933610669,0.0625,40,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,20.0,0.5,-0.11000000000000001,-0.2465116279069767,0.00740740740740739,0.0871912808719128,0.0028210105159587207,0.125,40,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,20.0,1.0,-0.10999999999999999,-0.23243243243243245,-0.008506205673758942,0.05699430056994301,0.0023182013763878347,0.0625,40,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,20.0,2.0,-0.05500000000000001,-0.16551724137931034,0.025641025641025633,0.2502749725027497,0.004331496840315366,0.375,40,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,20.0,5.0,-0.02,-0.07659574468085106,0.018181818181818174,0.41305869413058693,0.0049235857628049644,0.375,40,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD004,30.0,0.0,-0.11698113207547171,-0.21568885448916414,-0.029787234042553207,0.017298270172982702,0.0013037384817507075,0.0625,53,10000,1.0,no adjusted evidence
