oob_regret,selected_candidate_index
0.01754440407819008,3
0.0270782238391397,2
0.002800399107756188,3
0.04078317095756469,6
0.020892426619023116,3
0.05941987706308431,1
0.07047339691571922,1
0.025725307436252898,6
0.06233594815838822,5
0.0037798017907756665,6
0.027293081269883196,2
0.048360889526990136,5
0.011512147552800778,3
0.014097506691558237,2
0.04078021525249825,6
0.03555376555085149,6
0.00648531087315854,6
0.04547813403617054,5
0.007307126986547938,2
0.05964029927490942,5
0.027124923016102517,6
0.009250429492354217,2
0.0069868329330127765,2
0.01719064466265177,6
0.012317113138559946,2
0.011593815623315407,3
0.021858440073404206,2
0.007668126532601349,3
0.06938085099007643,0
0.02331654215011497,2
0.0016067150283740755,2
0.037390324636912206,6
0.09569505455473812,6
0.03631937773945945,6
0.004200228150075647,2
0.01856894894292649,6
0.006277286019617828,2
0.06859261487483342,5
0.017011613202279632,2
0.044363425078834604,6
0.10731741163998315,8
0.03764621261420581,2
0.08421383105791136,5
0.03888845764765636,2
0.05973374044892227,5
0.09237333375125809,5
0.047284528309996215,6
0.06004122868689474,5
0.03764795173229046,6
0.04091366153240884,6
0.02233713624949682,2
0.013010158784694137,2
0.009567657303552066,3
0.06657813355354003,6
0.07776275714485897,6
0.011497249718472075,2
0.009190865339267135,3
0.010923476021339584,3
0.017186971081719377,2
0.01658573826111444,6
0.05359462040523158,5
0.007556895271354586,3
0.025294141897179517,6
0.05833125748945718,5
0.004529869714163914,2
0.07549293608808033,5
0.027108878362724423,2
0.025748621367793628,2
0.021615295122781278,2
0.03306169819570645,2
0.02633309778379364,2
0.016601882295289902,6
0.018594109700629857,6
0.016162312792327105,2
0.015612503567192543,3
0.08806719287744641,5
0.017182031161392775,3
0.0456316869535173,6
0.034639186597526975,6
0.030954094653678765,6
0.005391460745956367,6
0.0009871490680036787,3
0.06169737269185667,1
0.00018995945429778338,2
0.07161456640963368,6
0.0,2
0.11132689483780804,8
0.027321156591293555,2
0.0025720414915977874,2
0.0,2
0.0025961772380935777,2
0.0453879428317171,6
0.0652454547237353,6
0.006445604253444703,2
0.019973414097757602,2
0.14000784873305092,5
0.026321606194374833,6
0.04794305365618859,6
0.01721337127006166,3
0.08338144242853897,1
0.07835744130196165,5
0.021092700869415754,3
0.0,3
0.055814654852056195,6
0.0522956448967829,6
0.012583627919612747,2
0.1115211420150576,5
0.022774220764018555,3
0.044878272894970414,6
0.013719193714879424,3
