subset,model,display_name,seed,rul_threshold_tau,late_tolerance_epsilon,eligible_engine_count,late_event_count,late_event_rate,conditional_mean_exceedance,conditional_q95_exceedance,zero_inflated_mean_exceedance,conditional_severity_defined
FD001,rast_gru_v2,OCM-Asym,2024,30.0,1.0,25,3,0.12,0.9428151448567709,1.7620471954345702,0.1131378173828125,True
FD001,rast_gru_v2,OCM-Asym,2024,30.0,2.0,25,1,0.04,0.9048538208007812,0.9048538208007812,0.03619415283203125,True
FD001,rast_gru_v2,OCM-Asym,2024,30.0,5.0,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2024,40.0,0.0,28,4,0.14285714285714285,1.536123275756836,2.6906438827514645,0.21944618225097656,True
FD001,rast_gru_v2,OCM-Asym,2024,40.0,0.5,28,3,0.10714285714285714,1.4428151448567708,2.2620471954345702,0.15458733694893972,True
FD001,rast_gru_v2,OCM-Asym,2024,40.0,1.0,28,3,0.10714285714285714,0.9428151448567709,1.7620471954345702,0.10101590837751116,True
FD001,rast_gru_v2,OCM-Asym,2024,40.0,2.0,28,1,0.03571428571428571,0.9048538208007812,0.9048538208007812,0.03231620788574219,True
FD001,rast_gru_v2,OCM-Asym,2024,40.0,5.0,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2024,50.0,0.0,33,5,0.15151515151515152,2.366473388671875,5.131269836425781,0.3585565740411932,True
FD001,rast_gru_v2,OCM-Asym,2024,50.0,0.5,33,4,0.12121212121212122,2.379079818725586,4.770420837402343,0.28837331136067706,True
FD001,rast_gru_v2,OCM-Asym,2024,50.0,1.0,33,4,0.12121212121212122,1.879079818725586,4.270420837402343,0.22776725075461648,True
FD001,rast_gru_v2,OCM-Asym,2024,50.0,2.0,33,2,0.06060606060606061,2.2963638305664062,3.5487228393554684,0.1391735654888731,True
FD001,rast_gru_v2,OCM-Asym,2024,50.0,5.0,33,1,0.030303030303030304,0.6878738403320312,0.6878738403320312,0.02084466182824337,True
FD001,rast_gru_v2,OCM-Asym,2025,20.0,0.0,16,2,0.125,1.9718170166015643,2.2078805923461915,0.24647712707519553,True
FD001,rast_gru_v2,OCM-Asym,2025,20.0,0.5,16,2,0.125,1.4718170166015643,1.7078805923461915,0.18397712707519553,True
FD001,rast_gru_v2,OCM-Asym,2025,20.0,1.0,16,2,0.125,0.9718170166015643,1.2078805923461915,0.12147712707519553,True
FD001,rast_gru_v2,OCM-Asym,2025,20.0,2.0,16,1,0.0625,0.23410987854003906,0.23410987854003906,0.014631867408752441,True
FD001,rast_gru_v2,OCM-Asym,2025,20.0,5.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2025,30.0,0.0,25,4,0.16,1.0673651695251483,2.1554220199584964,0.17077842712402372,True
FD001,rast_gru_v2,OCM-Asym,2025,30.0,0.5,25,2,0.08,1.4718170166015643,1.7078805923461915,0.11774536132812514,True
FD001,rast_gru_v2,OCM-Asym,2025,30.0,1.0,25,2,0.08,0.9718170166015643,1.2078805923461915,0.07774536132812514,True
FD001,rast_gru_v2,OCM-Asym,2025,30.0,2.0,25,1,0.04,0.23410987854003906,0.23410987854003906,0.009364395141601563,True
FD001,rast_gru_v2,OCM-Asym,2025,30.0,5.0,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2025,40.0,0.0,28,4,0.14285714285714285,1.0673651695251483,2.1554220199584964,0.15248073850359262,True
FD001,rast_gru_v2,OCM-Asym,2025,40.0,0.5,28,2,0.07142857142857142,1.4718170166015643,1.7078805923461915,0.10512978690011174,True
FD001,rast_gru_v2,OCM-Asym,2025,40.0,1.0,28,2,0.07142857142857142,0.9718170166015643,1.2078805923461915,0.06941550118582603,True
FD001,rast_gru_v2,OCM-Asym,2025,40.0,2.0,28,1,0.03571428571428571,0.23410987854003906,0.23410987854003906,0.008361067090715681,True
FD001,rast_gru_v2,OCM-Asym,2025,40.0,5.0,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2025,50.0,0.0,33,5,0.15151515151515152,2.4110080718994142,6.675285720825189,0.365304253318093,True
FD001,rast_gru_v2,OCM-Asym,2025,50.0,0.5,33,3,0.09090909090909091,3.4097379048665353,6.730432701110833,0.309976173169685,True
FD001,rast_gru_v2,OCM-Asym,2025,50.0,1.0,33,3,0.09090909090909091,2.9097379048665353,6.230432701110833,0.2645216277151396,True
FD001,rast_gru_v2,OCM-Asym,2025,50.0,2.0,33,2,0.06060606060606061,3.009844779968258,5.508006191253655,0.1824148351495914,True
FD001,rast_gru_v2,OCM-Asym,2025,50.0,5.0,33,1,0.030303030303030304,2.7855796813964773,2.7855796813964773,0.08441150549686295,True
FD001,rast_gru_v2,OCM-Asym,2026,20.0,0.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,20.0,0.5,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,20.0,1.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,20.0,2.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,20.0,5.0,16,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,30.0,0.0,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,30.0,0.5,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,30.0,1.0,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,30.0,2.0,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,30.0,5.0,25,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,40.0,0.0,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,40.0,0.5,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,40.0,1.0,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,40.0,2.0,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,40.0,5.0,28,0,0.0,,,0.0,False
FD001,rast_gru_v2,OCM-Asym,2026,50.0,0.0,33,1,0.030303030303030304,4.0503082275390625,4.0503082275390625,0.12273661295572917,True
FD001,rast_gru_v2,OCM-Asym,2026,50.0,0.5,33,1,0.030303030303030304,3.5503082275390625,3.5503082275390625,0.10758509780421402,True
FD001,rast_gru_v2,OCM-Asym,2026,50.0,1.0,33,1,0.030303030303030304,3.0503082275390625,3.0503082275390625,0.09243358265269887,True
FD001,rast_gru_v2,OCM-Asym,2026,50.0,2.0,33,1,0.030303030303030304,2.0503082275390625,2.0503082275390625,0.062130552349668564,True
FD001,rast_gru_v2,OCM-Asym,2026,50.0,5.0,33,0,0.0,,,0.0,False
FD001,rast_gru,RAST-GRU,42,20.0,0.0,16,1,0.0625,1.6712455749511719,1.6712455749511719,0.10445284843444824,True
FD001,rast_gru,RAST-GRU,42,20.0,0.5,16,1,0.0625,1.1712455749511719,1.1712455749511719,0.07320284843444824,True
FD001,rast_gru,RAST-GRU,42,20.0,1.0,16,1,0.0625,0.6712455749511719,0.6712455749511719,0.04195284843444824,True
FD001,rast_gru,RAST-GRU,42,20.0,2.0,16,0,0.0,,,0.0,False
FD001,rast_gru,RAST-GRU,42,20.0,5.0,16,0,0.0,,,0.0,False
FD001,rast_gru,RAST-GRU,42,30.0,0.0,25,1,0.04,1.6712455749511719,1.6712455749511719,0.06684982299804687,True
FD001,rast_gru,RAST-GRU,42,30.0,0.5,25,1,0.04,1.1712455749511719,1.1712455749511719,0.046849822998046874,True
FD001,rast_gru,RAST-GRU,42,30.0,1.0,25,1,0.04,0.6712455749511719,0.6712455749511719,0.026849822998046877,True
FD001,rast_gru,RAST-GRU,42,30.0,2.0,25,0,0.0,,,0.0,False
FD001,rast_gru,RAST-GRU,42,30.0,5.0,25,0,0.0,,,0.0,False
FD001,rast_gru,RAST-GRU,42,40.0,0.0,28,1,0.03571428571428571,1.6712455749511719,1.6712455749511719,0.05968734196254185,True
FD001,rast_gru,RAST-GRU,42,40.0,0.5,28,1,0.03571428571428571,1.1712455749511719,1.1712455749511719,0.041830199105398994,True
